episode_id,step,time_sec,task_phase,is_holding_object,success_flag,dist_ee_obj,dist_obj_goal,obj_height,raw_target_x,raw_target_y,raw_target_z,raw_grip_logit,smooth_target_x,smooth_target_y,smooth_target_z,smooth_grip_score,actual_ee_x,actual_ee_y,actual_ee_z,gripper_width,commanded_gripper,joint_vel_norm
0,38,0.380000,0,False,0,0.210202,0.283543,0.419927,0.579565,0.11236508,0.41485542,-12.430020,0.58037245,0.112788826,0.41541505,-1.000000,0.5723944,0.11232753,0.4089212,,-1.000000,0.133891
0,39,0.390000,0,False,0,0.210953,0.283543,0.419927,0.57953185,0.116772056,0.4157233,-12.487423,0.5799521,0.11478044,0.4155692,1.000000,0.5733607,0.112674296,0.40924335,,1.000000,0.118296
0,40,0.400000,0,False,0,0.211435,0.283543,0.419927,0.5733944,0.11523445,0.4154923,-12.355402,0.57667327,0.115007445,0.41553074,1.000000,0.5736733,0.11306272,0.40941152,,1.000000,0.056611
0,41,0.410000,0,False,0,0.211649,0.283543,0.419927,0.5726375,0.113533035,0.41478318,-12.362927,0.5746554,0.11427024,0.41515696,1.000000,0.57357717,0.11337055,0.40959698,,1.000000,0.034091
0,42,0.420000,0,False,0,0.211790,0.283543,0.419927,0.5762524,0.112305716,0.4146855,-12.395565,0.5754539,0.11328798,0.41492122,1.000000,0.5736153,0.11352595,0.40987492,,1.000000,0.027716
0,43,0.430000,0,False,0,0.211716,0.283543,0.419927,0.573332,0.11259787,0.4147853,-12.360439,0.5743929,0.11294292,0.41485327,1.000000,0.57355803,0.11348307,0.41006255,,1.000000,0.027112
0,44,0.440000,0,False,0,0.211487,0.283543,0.419927,0.5711641,0.113363594,0.4146325,-12.323944,0.57277846,0.11315326,0.4147429,1.000000,0.573288,0.11337561,0.4101812,,1.000000,0.041914
0,45,0.450000,0,False,0,0.211371,0.283543,0.419927,0.5724636,0.114930496,0.41496748,-12.342987,0.572621,0.11404188,0.41485518,1.000000,0.57303524,0.11339123,0.41034806,,1.000000,0.036346
0,46,0.460000,0,False,0,0.211600,0.283543,0.419927,0.5765077,0.11601463,0.41567975,-12.420881,0.57456434,0.115028255,0.41526747,1.000000,0.57312346,0.11361771,0.4106238,,1.000000,0.035824
0,47,0.470000,0,False,0,0.212017,0.283543,0.419927,0.57724786,0.115841985,0.41627204,-12.366217,0.5759061,0.11543512,0.41576976,1.000000,0.5734312,0.11393863,0.4108994,,1.000000,0.055327
0,48,0.480000,0,False,0,0.212432,0.283543,0.419927,0.579181,0.113246426,0.4160386,-12.454679,0.57754356,0.114340775,0.41590416,1.000000,0.5739425,0.11414448,0.41114715,,1.000000,0.069452
0,49,0.490000,0,False,0,0.212809,0.283543,0.419927,0.5809001,0.11401756,0.41636613,-12.440672,0.57922184,0.114179164,0.41613513,1.000000,0.5746594,0.11418938,0.41136554,,1.000000,0.087992
0,50,0.500000,0,False,0,0.213124,0.283543,0.419927,0.5827029,0.11209577,0.4158252,-12.503946,0.58096236,0.11313747,0.41598016,1.000000,0.5755475,0.11406351,0.4115159,,1.000000,0.099938
0,51,0.510000,0,False,0,0.213040,0.283543,0.419927,0.57923317,0.10903101,0.41528594,-12.388090,0.5800978,0.11108424,0.41563305,1.000000,0.5761836,0.1136082,0.41147116,,1.000000,0.065992
0,52,0.520000,0,False,0,0.212696,0.283543,0.419927,0.5756025,0.11281736,0.41428953,-12.455427,0.5778501,0.1119508,0.41496128,1.000000,0.57640743,0.11307855,0.4112934,,1.000000,0.022258
0,53,0.530000,0,False,0,0.212690,0.283543,0.419927,0.5817635,0.11385855,0.41599637,-12.355984,0.5798068,0.112904675,0.41547883,1.000000,0.57682204,0.112837344,0.4113104,,1.000000,0.051052
0,54,0.540000,0,False,0,0.212935,0.283543,0.419927,0.5831387,0.11274043,0.41547585,-12.309785,0.58147275,0.11282255,0.41547734,1.000000,0.5774485,0.112764545,0.41137636,,1.000000,0.072021
0,55,0.550000,0,False,0,0.213210,0.283543,0.419927,0.5828424,0.112582624,0.41557768,-12.386826,0.5821576,0.112702586,0.41552752,1.000000,0.5780946,0.11271103,0.4113916,,1.000000,0.072943
0,56,0.560000,0,False,0,0.213488,0.283543,0.419927,0.58505887,0.1112123,0.41563252,-12.345455,0.58360827,0.111957446,0.41558003,1.000000,0.5788449,0.11260016,0.4114148,,1.000000,0.085228
0,57,0.570000,0,False,0,0.213663,0.283543,0.419927,0.58220416,0.113184735,0.41478008,-12.334837,0.58290625,0.11257109,0.41518006,1.000000,0.57941884,0.11246413,0.41132507,,1.000000,0.058906
0,58,0.580000,0,False,0,0.214092,0.283543,0.419927,0.587716,0.11420047,0.4169205,-12.376513,0.5853111,0.11338578,0.4160503,1.000000,0.58020735,0.112503074,0.41139916,,1.000000,0.100226
0,59,0.590000,0,False,0,0.214410,0.283543,0.419927,0.5828611,0.11337717,0.41625738,-12.412102,0.5840861,0.113381475,0.41615385,1.000000,0.580721,0.11256991,0.41141036,,1.000000,0.066506
0,60,0.600000,0,False,0,0.214927,0.283543,0.419927,0.58681947,0.11636245,0.4168222,-12.312545,0.5854528,0.114871964,0.41648802,1.000000,0.5813272,0.112818874,0.41155738,,1.000000,0.088224
